127.0.0.1 - - [21/Sep/2018:16:23:23 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [21/Sep/2018:16:23:25 +0900] "GET /sample-web/ HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [21/Sep/2018:16:23:25 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2018:16:23:25 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2018:16:23:27 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [21/Sep/2018:16:23:27 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2018:16:23:27 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2018:16:23:27 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [21/Sep/2018:16:23:32 +0900] "POST /sample-web/CartAction HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [21/Sep/2018:16:23:33 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [21/Sep/2018:16:23:46 +0900] "POST /sample-web/ProductListAction HTTP/1.1" 200 5798
0:0:0:0:0:0:0:1 - - [21/Sep/2018:16:23:46 +0900] "GET /sample-web/images/sample.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2018:16:23:46 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [21/Sep/2018:16:23:48 +0900] "GET /sample-web/ProductDetailsAction.action?productId=1 HTTP/1.1" 200 5828
0:0:0:0:0:0:0:1 - - [21/Sep/2018:16:23:48 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
