127.0.0.1 - - [26/Sep/2018:14:26:22 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:26:24 +0900] "GET /sample-web/ HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:26:24 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:26:24 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:26:26 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:26:26 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:26:26 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:26:26 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:26:32 +0900] "POST /sample-web/ProductListAction HTTP/1.1" 200 5798
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:26:32 +0900] "GET /sample-web/images/sample.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:26:32 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:26:33 +0900] "GET /sample-web/ProductDetailsAction.action?productId=2 HTTP/1.1" 200 5828
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:26:33 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:26:35 +0900] "POST /sample-web/AddCartAction.action HTTP/1.1" 200 4919
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:26:35 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:26:37 +0900] "POST /sample-web/ProductListAction HTTP/1.1" 200 5798
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:26:38 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:26:39 +0900] "GET /sample-web/ProductDetailsAction.action?productId=3 HTTP/1.1" 200 5832
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:26:39 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:26:41 +0900] "POST /sample-web/AddCartAction.action HTTP/1.1" 200 6117
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:26:41 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:26:45 +0900] "POST /sample-web/SettlementConfirmAction.action HTTP/1.1" 200 4578
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:26:45 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:26:52 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:26:54 +0900] "POST /sample-web/DeleteCartAction HTTP/1.1" 200 4922
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:26:54 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:26:59 +0900] "POST /sample-web/DeleteCartAction HTTP/1.1" 200 5044
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:26:59 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:27:02 +0900] "POST /sample-web/ProductListAction HTTP/1.1" 200 5798
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:27:02 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:27:03 +0900] "GET /sample-web/ProductDetailsAction.action?productId=1 HTTP/1.1" 200 5832
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:27:03 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:27:04 +0900] "POST /sample-web/AddCartAction.action HTTP/1.1" 200 6239
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:27:04 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:27:09 +0900] "POST /sample-web/DeleteCartAction HTTP/1.1" 200 5044
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:27:09 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:27:22 +0900] "POST /sample-web/ProductListAction HTTP/1.1" 200 5798
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:27:22 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:27:24 +0900] "GET /sample-web/ProductDetailsAction.action?productId=3 HTTP/1.1" 200 5832
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:27:24 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:27:26 +0900] "POST /sample-web/AddCartAction.action HTTP/1.1" 200 6239
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:27:26 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:27:31 +0900] "POST /sample-web/CartAction HTTP/1.1" 200 6256
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:27:32 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:27:33 +0900] "POST /sample-web/GoLoginAction HTTP/1.1" 200 4588
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:27:33 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:27:34 +0900] "POST /sample-web/CartAction HTTP/1.1" 200 6256
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:27:34 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:27:54 +0900] "POST /sample-web/DeleteCartAction HTTP/1.1" 200 5044
0:0:0:0:0:0:0:1 - - [26/Sep/2018:14:27:54 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
